state,Month,maize,rice,sorghum
Benue,Feb,0.15112497778110412,0.09721398433918665,0.21947030152211133
Benue,Jan,0.14613849237426654,0.1035386775734499,0.20824415893060982
Benue,Jul,0.7973188296656573,0.8104824169392717,0.7685505609876214
Benue,Jun,0.2812069492257087,0.3368421040709412,0.3015145772153267
Benue,Mar,0.2103332776619789,0.16237923844622512,0.2952183962015298
Benue,May,0.2287724479937393,0.2393502507351575,0.28334419011578016
Benue,Nov,0.16509892870660509,0.1479343703820119,0.2250463218816534
Benue,Oct,0.3031808828449918,0.3719478440427978,0.30827608029478015
Benue,Sep,0.7433838227138356,0.7422382326382901,0.7272342242328141
Borno,Apr,0.20672544543860308,0.12759028154384963,0.30120521271437073
Borno,Aug,0.7806159011115462,0.7824034363443668,0.754511070690169
Borno,Dec,0.06270499854992467,0.0520287021358206,0.08716543020460092
Borno,Feb,0.06329251293373624,0.03593754385308398,0.09350834027186572
Borno,Jan,0.042456334022508875,0.035272380275233634,0.059003096612436905
Borno,Jul,0.6466788812925516,0.56609976268962,0.6877261403376158
Borno,Jun,0.21582949234588344,0.1787943514588859,0.2908360246503062
Borno,Mar,0.13525179856115108,0.06762589928057554,0.20287769784172663
Borno,May,0.2121702443459012,0.14279642612103577,0.30521116270080567
Borno,Nov,0.09501828965955975,0.06701499658530653,0.13602548390416405
Borno,Oct,0.1652499005402145,0.13810862927211293,0.2237305736288622
Borno,Sep,0.651805141591252,0.5908923219582629,0.6803382473100668
Cross River,Apr,0.3251400903226008,0.36794178985662185,0.3494385208275915
Cross River,Aug,0.31677942249015045,0.4038621181003037,0.3134418504170583
Cross River,Dec,0.17062792553515005,0.14172617698874213,0.23633071439365164
Cross River,Feb,0.18627428683601857,0.14328733375356031,0.2622911488911686
Cross River,Jan,0.17211990499792473,0.1384565431468589,0.23829301977486833
Cross River,Jul,0.43411027227550913,0.5627159893574009,0.39107022489452775
Cross River,Jun,0.31888340554111116,0.3973205240440563,0.32276098144648857
Cross River,Mar,0.23322513398331168,0.21640759024439438,0.3024483994387439
Cross River,May,0.26898090365322713,0.3129996946721065,0.3003847394223842
Cross River,Nov,0.19191341373007825,0.19478367941200903,0.248470976396652
Cross River,Oct,0.3682206215682184,0.4635076287688509,0.3522574115067276
Cross River,Sep,0.3545602393767061,0.45208388042916614,0.33935129273256864
Delta,Apr,0.34633515352914446,0.4344735714685525,0.35572599436736974
Delta,Aug,0.35443133070567256,0.47534584290489135,0.3329966624596398
Delta,Dec,0.22486250674268599,0.27187388034829807,0.27082902650508434
Delta,Feb,0.23340807928096202,0.28416421716104956,0.2805713172136183
Delta,Jan,0.21946935692880593,0.2673411734879706,0.26496555077276224
Delta,Jul,0.8486142804884421,0.8976727576776351,0.7995558032992492
Delta,Jun,0.47244776948335254,0.6217363423530518,0.4223789625434323
Delta,Mar,0.27382406684658034,0.33360280821020566,0.31248485734251286
Delta,May,0.308152184537379,0.388532494564681,0.3255612113111174
Delta,Nov,0.24652494656195556,0.30525049583786595,0.28571877309878907
Delta,Oct,0.3017939163343582,0.39136632658060877,0.31079107695936914
Delta,Sep,0.7607208180187085,0.7804814743846569,0.7409601616527601
Ebonyi,Apr,0.31833406224072525,0.3608463605850616,0.3440922450407322
Ebonyi,Aug,0.30233329043777324,0.38751884627872035,0.3016730922041084
Ebonyi,Dec,0.1664161584078896,0.14625228302199095,0.22780240050380118
Ebonyi,Feb,0.1825204141450424,0.15040324053946202,0.2532591742265655
Ebonyi,Jan,0.16914917037865035,0.14163242893470063,0.2326867180644726
Ebonyi,Jul,0.7925898104930635,0.8084677217403904,0.7621475299349434
Ebonyi,Jun,0.3134902557272312,0.3927878171837289,0.3168975057141666
Ebonyi,Mar,0.22009332763073827,0.20388272020129217,0.2907902809639554
Ebonyi,May,0.6584667171189733,0.6013935175030535,0.6927830896867786
Ebonyi,Nov,0.19292004665520762,0.2054300387874476,0.24659991148005472
Ebonyi,Oct,0.3016273530481811,0.3813479699840414,0.30578189866108546
Ebonyi,Sep,0.7206630419805127,0.7113663229562699,0.7153953916939623
Edo,Apr,0.6602586808407913,0.5980183633015942,0.6964911960392863
Edo,Aug,0.27196778696716306,0.3580976099229686,0.27257398481759937
Edo,Dec,0.16043407165721058,0.14864872756372874,0.21461213356603698
Edo,Feb,0.1852307785285923,0.16106723232326714,0.2513969255141516
Edo,Jan,0.15496691737501916,0.1343663952391773,0.2110680897059196
Edo,Jul,0.7640708238391701,0.7808442797615357,0.7375444420390412
Edo,Jun,0.8184296269946011,0.8413029629445561,0.7821622728391845
Edo,Mar,0.2585954400426422,0.26865498724991577,0.3123850475817924
