,state,disaster,disaster_frequency_3_years,abandoned_area,production_distruption_loss,loss_severity_economic,land_lost,Crop losses,severity_of_physical_loss
820,PLATEAU,Extreme Winds,1.0,No,No,Significant losses,No,No,Significant losses
821,PLATEAU,Flood,3.0,No,No,Significant losses,No,No,Significant losses
822,PLATEAU,Drought,3.0,No,Yes,Significant losses,No,Yes,Significant losses
823,PLATEAU,Flood,2.0,No,No,Significant losses,No,Yes,Significant losses
824,PLATEAU,Heavy rainfall,1.0,No,Yes,Significant losses,No,Yes,Significant losses
825,PLATEAU,Extreme Winds,7.0,No,No,,No,No,Small losses
826,PLATEAU,Extreme Winds,2.0,No,Yes,Significant losses,No,Yes,Significant losses
827,PLATEAU,Drought,3.0,No,Yes,Almost total or total losses,No,Yes,Almost total or total losses
828,PLATEAU,Heavy rainfall,2.0,No,No,,No,Yes,Small losses
829,PLATEAU,Flood,3.0,Yes,Yes,Significant losses,No,Yes,Significant losses
830,PLATEAU,Extreme Winds,1.0,No,No,,No,No,Significant losses
831,ADAMAWA,Heavy rainfall,6.0,No,No,Significant losses,Yes,Yes,Small losses
832,ADAMAWA,Flood,3.0,No,Yes,Small losses,No,Yes,Small losses
833,ADAMAWA,Drought,1.0,Yes,Yes,Small losses,No,No,Small losses
834,ADAMAWA,Extreme Winds,6.0,No,Yes,Significant losses,Yes,Yes,Significant losses
835,ADAMAWA,Flood,3.0,Yes,Yes,Significant losses,Yes,Yes,Significant losses
836,ADAMAWA,Flood,2.0,No,Yes,Significant losses,No,Yes,Significant losses
837,ADAMAWA,Drought,3.0,Yes,No,Significant losses,No,Yes,Significant losses
838,ADAMAWA,Extreme Winds,3.0,No,No,Small losses,No,No,Small losses
839,ADAMAWA,Flood,2.0,No,Yes,Significant losses,Yes,Yes,Significant losses
840,ADAMAWA,Flood,1.0,No,Yes,Significant losses,No,No,Significant losses
841,ADAMAWA,Extreme temperatures (cold or heat),3.0,No,Yes,Significant losses,No,No,Significant losses
842,ADAMAWA,Drought,1.0,No,Yes,Significant losses,No,Yes,Significant losses
843,ADAMAWA,Flood,3.0,Yes,Yes,Significant losses,Yes,Yes,Significant losses
844,ADAMAWA,Drought,2.0,No,Yes,Significant losses,No,Yes,Significant losses
845,ADAMAWA,Flood,1.0,No,Yes,Significant losses,No,No,Significant losses
846,ADAMAWA,Heavy rainfall,5.0,Yes,Yes,Significant losses,Yes,Yes,Significant losses
847,ADAMAWA,Heavy rainfall,3.0,Yes,Yes,Small losses,No,Yes,Small losses
848,ADAMAWA,Flood,2.0,Yes,No,Significant losses,No,Yes,Significant losses
849,ADAMAWA,Fire Disaster,1.0,No,Yes,Significant losses,Yes,Yes,Significant losses
850,ADAMAWA,Fire Disaster,3.0,No,No,,Yes,No,Small losses
851,ADAMAWA,Flood,1.0,Yes,Yes,Almost total or total losses,No,Yes,Almost total or total losses
852,ADAMAWA,Flood,2.0,No,No,Significant losses,Yes,No,Significant losses
853,ADAMAWA,Extreme temperatures (cold or heat),3.0,No,Yes,Small losses,No,Yes,Small losses
854,ADAMAWA,Flood,9.0,No,No,Significant losses,Yes,No,Significant losses
855,ADAMAWA,Flood,3.0,No,No,Significant losses,No,Yes,Significant losses
856,ADAMAWA,Heavy rainfall,3.0,No,Yes,Significant losses,No,Yes,Significant losses
857,ADAMAWA,Flood,3.0,Yes,Yes,Significant losses,Yes,Yes,Significant losses
858,ADAMAWA,Heavy rainfall,3.0,No,Yes,Small losses,No,Yes,Small losses
859,ADAMAWA,Fire Disaster,5.0,Yes,Yes,Significant losses,No,Yes,Almost total or total losses
860,ADAMAWA,Heavy rainfall,2.0,No,Yes,Small losses,No,Yes,Small losses
861,ADAMAWA,Flood,5.0,No,Yes,Significant losses,No,Yes,Significant losses
862,ADAMAWA,Flood,1.0,No,Yes,Small losses,No,Yes,Small losses
863,ADAMAWA,Extreme Winds,3.0,No,Yes,Significant losses,No,Yes,Significant losses
864,ADAMAWA,Flood,3.0,No,Yes,Significant losses,Yes,No,Significant losses
865,ADAMAWA,Heavy rainfall,3.0,No,Yes,Small losses,No,Yes,Small losses
866,ADAMAWA,Heavy rainfall,2.0,No,No,Small losses,No,Yes,Small losses
867,ADAMAWA,Flood,2.0,No,Yes,Significant losses,No,Yes,Significant losses
868,ADAMAWA,Heavy rainfall,2.0,No,No,Small losses,No,Yes,Small losses
869,ADAMAWA,Flood,3.0,No,Yes,Small losses,No,Yes,Small losses
870,ADAMAWA,Flood,1.0,No,Yes,Small losses,No,Yes,Small losses
871,ADAMAWA,Extreme Winds,6.0,No,No,Small losses,No,No,Small losses
872,ADAMAWA,Heavy rainfall,8.0,No,No,Small losses,Yes,Yes,Small losses
873,ADAMAWA,Heavy rainfall,3.0,No,Yes,Small losses,No,Yes,Small losses
874,ADAMAWA,Flood,2.0,No,Yes,Significant losses,No,Yes,Significant losses
875,ADAMAWA,Heavy rainfall,3.0,Yes,Yes,Small losses,Yes,No,Small losses
876,ADAMAWA,Flood,4.0,No,Yes,Significant losses,Yes,Yes,Almost total or total losses
877,ADAMAWA,Flood,2.0,No,Yes,Significant losses,No,No,Significant losses
878,ADAMAWA,Extreme Winds,1.0,No,Yes,Small losses,No,No,Small losses
879,ADAMAWA,Heavy rainfall,2.0,No,No,,No,No,Significant losses
880,ADAMAWA,Extreme Winds,2.0,Yes,Yes,Significant losses,No,No,Significant losses
881,ADAMAWA,Flood,3.0,Yes,Yes,Significant losses,Yes,Yes,Significant losses
882,ADAMAWA,Flood,3.0,Yes,Yes,Significant losses,No,Yes,Significant losses
883,ADAMAWA,Flood,3.0,Yes,Yes,Significant losses,Yes,Yes,Significant losses
884,ADAMAWA,Extreme Winds,6.0,No,Yes,Significant losses,No,No,Significant losses
885,ADAMAWA,Flood,4.0,No,Yes,Significant losses,No,Yes,Significant losses
886,ADAMAWA,Fire Disaster,3.0,Yes,Yes,Almost total or total losses,No,Yes,Almost total or total losses
887,ADAMAWA,Extreme Winds,2.0,No,No,,No,No,Significant losses
888,ADAMAWA,Drought,2.0,Yes,Yes,Almost total or total losses,Yes,Yes,Significant losses
889,ADAMAWA,Extreme Winds,2.0,No,Yes,Significant losses,No,Yes,Significant losses
890,ADAMAWA,Extreme Winds,3.0,No,Yes,Significant losses,No,No,Significant losses
891,ADAMAWA,Flood,2.0,No,Yes,Significant losses,No,No,Significant losses
892,ADAMAWA,Flood,2.0,Yes,Yes,Significant losses,Yes,Yes,Significant losses
893,ADAMAWA,Flood,2.0,No,Yes,Significant losses,No,Yes,Significant losses
894,ADAMAWA,Flood,3.0,No,Yes,Significant losses,Yes,Yes,Significant losses
895,ADAMAWA,Fire Disaster,1.0,No,No,Significant losses,No,No,Significant losses
896,ADAMAWA,Extreme Winds,1.0,No,Yes,Significant losses,No,No,Significant losses
897,ADAMAWA,Heavy rainfall,9.0,No,No,Small losses,Yes,Yes,Small losses
898,ADAMAWA,Heavy rainfall,2.0,No,No,,No,No,Small losses
899,ADAMAWA,Heavy rainfall,3.0,No,No,Significant losses,No,No,Small losses
900,ADAMAWA,Heavy rainfall,1.0,No,Yes,Small losses,No,No,Small losses
901,ADAMAWA,Flood,1.0,No,Yes,Significant losses,No,Yes,Significant losses
902,ADAMAWA,Heavy rainfall,7.0,No,Yes,Significant losses,Yes,No,Significant losses
903,ADAMAWA,Extreme Winds,3.0,Yes,No,,No,Yes,Significant losses
904,ADAMAWA,Extreme Winds,2.0,Yes,Yes,Significant losses,Yes,Yes,Significant losses
905,ADAMAWA,Extreme Winds,2.0,No,No,,No,No,Significant losses
906,ADAMAWA,Extreme temperatures (cold or heat),3.0,No,Yes,Significant losses,No,Yes,Significant losses
907,ADAMAWA,Extreme Winds,3.0,No,Yes,Significant losses,No,Yes,Significant losses
908,ADAMAWA,Heavy rainfall,8.0,No,No,Significant losses,Yes,Yes,Significant losses
909,ADAMAWA,Drought,5.0,No,No,Significant losses,Yes,Yes,Small losses
910,ADAMAWA,Drought,3.0,Yes,No,Significant losses,No,Yes,Significant losses
911,ADAMAWA,Flood,8.0,No,Yes,Almost total or total losses,No,Yes,Almost total or total losses
912,ADAMAWA,Heavy rainfall,2.0,No,Yes,Significant losses,No,Yes,Significant losses
913,ADAMAWA,Extreme Winds,3.0,No,Yes,Significant losses,No,Yes,Significant losses
914,ADAMAWA,Flood,3.0,No,Yes,Significant losses,Yes,Yes,Significant losses
915,ADAMAWA,Flood,2.0,No,Yes,Significant losses,No,Yes,Significant losses
916,ADAMAWA,Heavy rainfall,3.0,No,No,,No,Yes,Significant losses
917,ADAMAWA,Heavy rainfall,3.0,No,No,,No,No,Significant losses
918,ADAMAWA,Extreme Winds,6.0,Yes,Yes,Small losses,No,No,Small losses
919,ADAMAWA,Flood,2.0,Yes,Yes,Small losses,Yes,Yes,Small losses
920,ADAMAWA,Heavy rainfall,2.0,No,Yes,Small losses,No,No,Small losses
921,ADAMAWA,Flood,3.0,Yes,Yes,Significant losses,Yes,Yes,Significant losses
922,ADAMAWA,Heavy rainfall,3.0,No,Yes,Small losses,No,Yes,Small losses
923,ADAMAWA,Heavy rainfall,2.0,Yes,Yes,Small losses,Yes,Yes,Significant losses
924,ADAMAWA,Extreme Winds,3.0,No,Yes,Significant losses,No,Yes,Significant losses
925,ADAMAWA,Heavy rainfall,3.0,No,No,Small losses,No,Yes,Small losses
926,ADAMAWA,Flood,15.0,No,Yes,Significant losses,No,Yes,Significant losses
927,ADAMAWA,Heavy rainfall,2.0,No,No,Small losses,No,Yes,Small losses
928,ADAMAWA,Heavy rainfall,3.0,Yes,Yes,Significant losses,No,Yes,Significant losses
929,ADAMAWA,Flood,2.0,No,Yes,Significant losses,No,Yes,Significant losses
930,ADAMAWA,Drought,2.0,Yes,No,Significant losses,Yes,No,Small losses
931,ADAMAWA,Heavy rainfall,3.0,No,Yes,Significant losses,No,No,Significant losses
932,ADAMAWA,Extreme Winds,6.0,No,No,,No,No,Small losses
933,ADAMAWA,Heavy rainfall,2.0,No,No,Small losses,No,No,Significant losses
934,ADAMAWA,Flood,3.0,No,Yes,Almost total or total losses,No,Yes,Almost total or total losses
935,ADAMAWA,Extreme Winds,4.0,No,No,Significant losses,No,No,Significant losses
936,ADAMAWA,Flood,3.0,No,No,Significant losses,No,Yes,Significant losses
937,ADAMAWA,Flood,6.0,Yes,Yes,Significant losses,Yes,Yes,Significant losses
938,ADAMAWA,Heavy rainfall,5.0,Yes,Yes,Significant losses,No,Yes,Significant losses
939,ADAMAWA,Heavy rainfall,8.0,No,No,Significant losses,No,Yes,Significant losses
940,ADAMAWA,Flood,3.0,No,Yes,Significant losses,Yes,Yes,Significant losses
941,ADAMAWA,Flood,3.0,No,Yes,Small losses,No,Yes,Small losses
942,ADAMAWA,Extreme Winds,3.0,No,Yes,Small losses,No,No,Small losses
943,ADAMAWA,Flood,2.0,No,Yes,Significant losses,Yes,Yes,Significant losses
944,ADAMAWA,Flood,3.0,No,No,Small losses,No,Yes,Significant losses
945,ADAMAWA,Flood,2.0,No,Yes,Significant losses,No,Yes,Significant losses
946,ADAMAWA,Heavy rainfall,5.0,No,No,Significant losses,No,No,Significant losses
947,ADAMAWA,Extreme Winds,2.0,No,No,Significant losses,No,No,Significant losses
948,ADAMAWA,Flood,2.0,Yes,Yes,Significant losses,No,Yes,Significant losses
949,ADAMAWA,Flood,2.0,No,Yes,Significant losses,No,Yes,Significant losses
950,ADAMAWA,Flood,5.0,No,No,Significant losses,Yes,Yes,Significant losses
951,ADAMAWA,Flood,3.0,Yes,No,Significant losses,No,Yes,Significant losses
952,ADAMAWA,Extreme Winds,2.0,No,No,,No,No,Small losses
953,ADAMAWA,Drought,2.0,Yes,No,Significant losses,No,Yes,Significant losses
954,ADAMAWA,Flood,2.0,No,No,Small losses,No,No,Significant losses
955,ADAMAWA,Flood,10.0,No,No,Significant losses,Yes,Yes,Significant losses
956,ADAMAWA,Extreme Winds,1.0,No,No,,No,No,Small losses
957,ADAMAWA,Drought,3.0,Yes,Yes,Significant losses,No,Yes,Significant losses
958,ADAMAWA,Flood,3.0,No,Yes,Significant losses,Yes,No,Significant losses
959,ADAMAWA,Heavy rainfall,2.0,Yes,Yes,Significant losses,No,Yes,Significant losses
960,ADAMAWA,Flood,3.0,No,Yes,Significant losses,No,No,Significant losses
961,ADAMAWA,Flood,2.0,No,Yes,Significant losses,No,Yes,Significant losses
962,ADAMAWA,Extreme Winds,6.0,Yes,Yes,Significant losses,No,Yes,Significant losses
963,ADAMAWA,Flood,2.0,No,Yes,Significant losses,Yes,No,Significant losses
964,ADAMAWA,Flood,3.0,No,Yes,Significant losses,No,Yes,Significant losses
965,ADAMAWA,Drought,2.0,No,Yes,Significant losses,No,Yes,Significant losses
966,ADAMAWA,Extreme Winds,3.0,No,Yes,Almost total or total losses,No,Yes,Almost total or total losses
967,ADAMAWA,Heavy rainfall,3.0,No,No,,No,Yes,Significant losses
968,ADAMAWA,Extreme Winds,1.0,Yes,No,Significant losses,No,No,Significant losses
969,ADAMAWA,Extreme Winds,2.0,No,No,,No,No,Small losses
970,ADAMAWA,Flood,1.0,No,Yes,Significant losses,Yes,Yes,Significant losses
971,ADAMAWA,Extreme Winds,3.0,No,Yes,Almost total or total losses,No,Yes,Almost total or total losses
972,ADAMAWA,Flood,3.0,No,Yes,Significant losses,No,No,Significant losses
973,ADAMAWA,Extreme Winds,1.0,No,Yes,Significant losses,No,No,Significant losses
974,ADAMAWA,Extreme Winds,3.0,No,No,Significant losses,No,No,Significant losses
975,ADAMAWA,Extreme Winds,2.0,Yes,Yes,Significant losses,Yes,Yes,Significant losses
976,ADAMAWA,Extreme Winds,4.0,No,No,,No,No,Small losses
977,ADAMAWA,Extreme Winds,3.0,No,Yes,Small losses,No,No,Small losses
978,ADAMAWA,Extreme Winds,3.0,No,Yes,Almost total or total losses,No,Yes,Almost total or total losses
979,ADAMAWA,Flood,2.0,Yes,No,Significant losses,No,Yes,Significant losses
980,ADAMAWA,Flood,2.0,No,Yes,Significant losses,No,Yes,Significant losses
981,ADAMAWA,Flood,3.0,No,Yes,Significant losses,No,Yes,Significant losses
982,ADAMAWA,Flood,2.0,No,Yes,Significant losses,No,No,Significant losses
983,ADAMAWA,Extreme Winds,3.0,No,Yes,Small losses,Yes,No,Small losses
984,ADAMAWA,Drought,1.0,No,No,Significant losses,No,Yes,Significant losses
985,ADAMAWA,Extreme Winds,3.0,No,No,,No,No,Significant losses
986,ADAMAWA,Heavy rainfall,3.0,Yes,Yes,Significant losses,No,Yes,Significant losses
987,ADAMAWA,Flood,2.0,No,Yes,Small losses,No,Yes,Small losses
988,ADAMAWA,Drought,2.0,No,Yes,Significant losses,No,Yes,Significant losses
989,ADAMAWA,Extreme Winds,5.0,No,No,Significant losses,Yes,No,Significant losses
990,ADAMAWA,Flood,3.0,No,No,Small losses,No,Yes,Small losses
991,ADAMAWA,Heavy rainfall,2.0,Yes,Yes,Significant losses,No,Yes,Small losses
992,ADAMAWA,Flood,3.0,No,No,Significant losses,No,Yes,Significant losses
993,ADAMAWA,Flood,3.0,Yes,No,Significant losses,No,Yes,Significant losses
994,ADAMAWA,Extreme Winds,3.0,No,Yes,Significant losses,No,No,Significant losses
995,ADAMAWA,Extreme Winds,3.0,No,Yes,Significant losses,Yes,Yes,Significant losses
996,ADAMAWA,Drought,3.0,No,No,,Yes,Yes,Significant losses
997,ADAMAWA,Flood,2.0,No,No,Significant losses,No,Yes,Significant losses
998,ADAMAWA,Heavy rainfall,2.0,No,No,Small losses,No,Yes,Small losses
999,ADAMAWA,Flood,8.0,No,Yes,Significant losses,No,Yes,Small losses
1000,ADAMAWA,Flood,2.0,No,Yes,Significant losses,No,No,Significant losses
1001,ADAMAWA,Flood,3.0,No,Yes,Small losses,Yes,Yes,Small losses
1002,ADAMAWA,Heavy rainfall,10.0,Yes,Yes,Significant losses,Yes,Yes,Significant losses
1003,ADAMAWA,Drought,2.0,No,Yes,Significant losses,No,Yes,Significant losses
1004,ADAMAWA,Extreme Winds,3.0,No,Yes,Small losses,No,Yes,Small losses
1005,ADAMAWA,Flood,5.0,Yes,Yes,Small losses,No,Yes,Significant losses
1006,ADAMAWA,Flood,3.0,No,Yes,Small losses,No,Yes,Small losses
1007,ADAMAWA,Flood,1.0,Yes,No,Small losses,No,No,Significant losses
1008,ADAMAWA,Heavy rainfall,3.0,No,Yes,Significant losses,No,Yes,Significant losses
1009,ADAMAWA,Extreme temperatures (cold or heat),2.0,No,No,,No,No,Small losses
1010,ADAMAWA,Flood,3.0,Yes,No,Significant losses,No,Yes,Significant losses
1011,ADAMAWA,Heavy rainfall,3.0,No,No,Significant losses,No,No,Small losses
1012,ADAMAWA,Extreme Winds,4.0,No,Yes,Small losses,No,No,Small losses
1013,ADAMAWA,Flood,4.0,No,No,Small losses,No,No,Small losses
1014,ADAMAWA,Drought,2.0,No,Yes,Significant losses,No,Yes,Significant losses
1015,ADAMAWA,Extreme temperatures (cold or heat),3.0,No,No,,No,Yes,Significant losses
1016,ADAMAWA,Drought,2.0,No,Yes,Significant losses,No,Yes,Significant losses
1017,ADAMAWA,Extreme Winds,3.0,No,Yes,Small losses,No,Yes,Significant losses
1018,ADAMAWA,Flood,2.0,No,Yes,Significant losses,Yes,Yes,Significant losses
1019,ADAMAWA,Extreme Winds,3.0,Yes,No,Significant losses,No,No,Small losses
1020,ADAMAWA,Drought,2.0,No,Yes,Significant losses,Yes,Yes,Significant losses
1021,ADAMAWA,Flood,2.0,Yes,Yes,Small losses,Yes,Yes,Small losses
1022,ADAMAWA,Flood,12.0,No,No,Significant losses,Yes,Yes,Significant losses
1023,ADAMAWA,Heavy rainfall,2.0,Yes,Yes,Significant losses,Yes,Yes,Small losses
1024,ADAMAWA,Flood,2.0,Yes,Yes,Significant losses,No,Yes,Significant losses
1025,ADAMAWA,Heavy rainfall,5.0,No,No,Small losses,No,No,Significant losses
1026,ADAMAWA,Heavy rainfall,1.0,Yes,No,,No,Yes,Small losses
1027,ADAMAWA,Extreme Winds,2.0,No,Yes,Significant losses,No,Yes,Significant losses
1028,ADAMAWA,Drought,2.0,No,Yes,Significant losses,No,Yes,Significant losses
1029,ADAMAWA,Extreme Winds,5.0,No,No,,Yes,No,Significant losses
1030,ADAMAWA,Heavy rainfall,2.0,No,No,Small losses,No,Yes,Significant losses
1031,ADAMAWA,Heavy rainfall,5.0,No,Yes,Almost total or total losses,No,Yes,Significant losses
1032,ADAMAWA,Extreme Winds,2.0,Yes,Yes,Significant losses,Yes,Yes,Significant losses
1033,ADAMAWA,Flood,3.0,Yes,Yes,Significant losses,No,Yes,Significant losses
1034,ADAMAWA,Extreme Winds,1.0,No,Yes,Significant losses,No,No,Significant losses
1035,ADAMAWA,Extreme Winds,6.0,No,Yes,Significant losses,No,Yes,Significant losses
1036,ADAMAWA,Extreme Winds,6.0,No,No,Small losses,No,No,Small losses
1037,ADAMAWA,Flood,5.0,No,No,Significant losses,Yes,Yes,Small losses
1038,ADAMAWA,Flood,3.0,No,No,,No,Yes,Significant losses
1039,ADAMAWA,Heavy rainfall,2.0,No,No,Small losses,Yes,No,Small losses
1040,ADAMAWA,Flood,4.0,No,No,Significant losses,No,Yes,Significant losses
1041,ADAMAWA,Extreme Winds,3.0,No,No,,No,No,Small losses
1042,ADAMAWA,Extreme Winds,1.0,No,Yes,Significant losses,No,No,Significant losses
1043,ADAMAWA,Extreme Winds,2.0,Yes,No,,No,No,Small losses
1044,ADAMAWA,Flood,4.0,Yes,Yes,Significant losses,Yes,Yes,Significant losses
1045,ADAMAWA,Flood,1.0,Yes,Yes,Significant losses,No,Yes,Significant losses
1046,ADAMAWA,Extreme Winds,3.0,No,Yes,Significant losses,No,Yes,Significant losses
1047,ADAMAWA,Heavy rainfall,3.0,Yes,Yes,Significant losses,No,Yes,Small losses
1048,ADAMAWA,Flood,2.0,No,No,,No,Yes,Significant losses
1049,ADAMAWA,Flood,2.0,No,Yes,Significant losses,Yes,Yes,Significant losses
1050,ADAMAWA,Heavy rainfall,2.0,No,Yes,Significant losses,No,No,Significant losses
1051,ADAMAWA,Heavy rainfall,4.0,Yes,Yes,Significant losses,Yes,Yes,Significant losses
1052,ADAMAWA,Flood,2.0,No,No,,No,No,Significant losses
1053,ADAMAWA,Drought,3.0,No,Yes,Small losses,No,Yes,Small losses
1054,ADAMAWA,Extreme Winds,1.0,No,Yes,Small losses,Yes,Yes,Small losses
1055,ADAMAWA,Flood,1.0,No,No,Significant losses,Yes,Yes,Significant losses
1056,ADAMAWA,Flood,2.0,Yes,Yes,Almost total or total losses,Yes,Yes,Significant losses
1057,ADAMAWA,Flood,1.0,No,No,,No,Yes,Significant losses
1058,ADAMAWA,Extreme temperatures (cold or heat),5.0,No,Yes,Small losses,No,Yes,Small losses
1059,ADAMAWA,Flood,7.0,No,Yes,Significant losses,Yes,Yes,Significant losses
1060,ADAMAWA,Extreme Winds,3.0,No,No,Significant losses,No,Yes,Small losses
1061,ADAMAWA,Flood,2.0,Yes,Yes,Significant losses,No,Yes,Significant losses
1062,ADAMAWA,Flood,3.0,No,Yes,Significant losses,No,Yes,Significant losses
1063,ADAMAWA,Extreme Winds,4.0,No,No,Small losses,No,No,Significant losses
1064,ADAMAWA,Flood,1.0,No,No,Significant losses,Yes,Yes,Small losses
1065,ADAMAWA,Drought,2.0,No,Yes,Significant losses,No,Yes,Significant losses
1066,ADAMAWA,Drought,5.0,No,Yes,Significant losses,Yes,Yes,Significant losses
1067,ADAMAWA,Heavy rainfall,5.0,Yes,Yes,Significant losses,No,Yes,Significant losses
1068,ADAMAWA,Flood,1.0,No,Yes,Small losses,No,Yes,Small losses
1069,ADAMAWA,Flood,3.0,No,Yes,Significant losses,No,Yes,Significant losses
1070,ADAMAWA,Flood,3.0,Yes,No,,No,No,Significant losses
1071,ADAMAWA,Extreme temperatures (cold or heat),1.0,No,No,,No,Yes,Significant losses
1072,ADAMAWA,Extreme Winds,1.0,No,Yes,Significant losses,No,No,Significant losses
1073,ADAMAWA,Extreme Winds,2.0,No,No,Significant losses,No,No,Small losses
1074,ADAMAWA,Extreme Winds,1.0,No,Yes,Significant losses,No,Yes,Significant losses
1075,ADAMAWA,Flood,1.0,No,Yes,Significant losses,No,Yes,Significant losses
1076,ADAMAWA,Extreme Winds,4.0,No,Yes,Small losses,No,No,Small losses
1077,ADAMAWA,Flood,3.0,No,Yes,Significant losses,No,Yes,Small losses
1078,ADAMAWA,Heavy rainfall,3.0,Yes,Yes,Significant losses,Yes,Yes,Significant losses
1079,ADAMAWA,Flood,2.0,No,No,Small losses,No,Yes,Significant losses
1080,ADAMAWA,Heavy rainfall,2.0,No,Yes,Significant losses,No,No,Significant losses
1081,ADAMAWA,Flood,5.0,No,Yes,Significant losses,Yes,No,Significant losses
1082,ADAMAWA,Flood,1.0,No,Yes,Significant losses,No,No,Significant losses
1083,ADAMAWA,Heavy rainfall,13.0,No,Yes,Significant losses,Yes,Yes,Significant losses
1084,ADAMAWA,Flood,13.0,No,Yes,Significant losses,Yes,Yes,Significant losses
1085,ADAMAWA,Flood,3.0,Yes,Yes,Significant losses,No,Yes,Significant losses
1086,ADAMAWA,Flood,1.0,Yes,No,Significant losses,Yes,Yes,Significant losses
1087,ADAMAWA,Flood,1.0,Yes,Yes,Significant losses,Yes,Yes,Significant losses
1088,ADAMAWA,Flood,3.0,No,Yes,Almost total or total losses,No,Yes,Significant losses
1089,ADAMAWA,Flood,3.0,Yes,Yes,Significant losses,No,Yes,Significant losses
1090,ADAMAWA,Flood,9.0,No,No,Small losses,Yes,Yes,Small losses
1091,ADAMAWA,Heavy rainfall,2.0,No,No,Small losses,Yes,No,Small losses
1092,ADAMAWA,Flood,2.0,No,Yes,Significant losses,No,Yes,Significant losses
1093,ADAMAWA,Flood,2.0,No,Yes,Significant losses,No,Yes,Significant losses
1094,ADAMAWA,Flood,5.0,Yes,Yes,Significant losses,Yes,Yes,Significant losses
1095,ADAMAWA,Flood,8.0,No,No,Significant losses,Yes,Yes,Significant losses
1096,ADAMAWA,Heavy rainfall,3.0,Yes,Yes,Significant losses,No,No,Small losses
1097,ADAMAWA,Extreme Winds,2.0,No,Yes,Small losses,No,No,Small losses
1098,ADAMAWA,Fire Disaster,1.0,No,No,Small losses,No,No,Small losses
1099,ADAMAWA,Heavy rainfall,4.0,No,No,,No,Yes,Small losses
1100,ADAMAWA,Heavy rainfall,5.0,Yes,Yes,Significant losses,Yes,Yes,Significant losses
1101,ADAMAWA,Flood,3.0,No,Yes,Significant losses,No,Yes,Significant losses
1102,ADAMAWA,Heavy rainfall,3.0,No,Yes,Significant losses,No,Yes,Significant losses
1103,ADAMAWA,Flood,2.0,Yes,Yes,Significant losses,No,No,Significant losses
1104,ADAMAWA,Drought,3.0,No,No,Significant losses,No,Yes,Significant losses
1105,ADAMAWA,Flood,1.0,No,Yes,Almost total or total losses,No,Yes,Almost total or total losses
1106,ADAMAWA,Flood,3.0,No,Yes,Significant losses,No,Yes,Significant losses
1107,ADAMAWA,Fire Disaster,2.0,No,No,Significant losses,No,No,Significant losses
1108,ADAMAWA,Flood,2.0,No,No,Small losses,No,No,Small losses
1109,ADAMAWA,Extreme Winds,3.0,No,No,,No,No,Small losses
1110,ADAMAWA,Flood,3.0,Yes,Yes,Significant losses,Yes,Yes,Significant losses
1111,ADAMAWA,Extreme Winds,3.0,No,No,,No,No,Significant losses
1112,ADAMAWA,Flood,1.0,No,No,Significant losses,No,No,Significant losses
1113,ADAMAWA,Flood,3.0,No,Yes,Significant losses,No,Yes,Significant losses
1114,ADAMAWA,Flood,3.0,Yes,Yes,Significant losses,Yes,Yes,Significant losses
1115,ADAMAWA,Flood,1.0,No,Yes,Almost total or total losses,No,Yes,Almost total or total losses
1116,ADAMAWA,Heavy rainfall,1.0,No,Yes,Significant losses,No,No,Significant losses
1117,ADAMAWA,Heavy rainfall,3.0,No,No,,No,No,Small losses
1118,ADAMAWA,Drought,2.0,No,No,Significant losses,Yes,Yes,Significant losses
1119,ADAMAWA,Extreme Winds,3.0,No,Yes,Significant losses,No,Yes,Small losses
1120,ADAMAWA,Extreme Winds,1.0,No,No,Significant losses,No,No,Significant losses
1121,ADAMAWA,Flood,3.0,No,No,,No,No,Almost total or total losses
1122,ADAMAWA,Flood,4.0,Yes,Yes,Significant losses,Yes,Yes,Significant losses
1123,ADAMAWA,Flood,5.0,No,Yes,Small losses,Yes,Yes,Small losses
1124,ADAMAWA,Extreme Winds,4.0,No,No,Small losses,No,Yes,Small losses
1125,ADAMAWA,Flood,3.0,Yes,Yes,Significant losses,No,Yes,Significant losses
1126,ADAMAWA,Heavy rainfall,2.0,No,Yes,Significant losses,No,No,Significant losses
1127,ADAMAWA,Heavy rainfall,1.0,Yes,No,Small losses,Yes,No,Small losses
1128,ADAMAWA,Heavy rainfall,2.0,No,Yes,Significant losses,No,Yes,Significant losses
1129,ADAMAWA,Heavy rainfall,3.0,No,No,Significant losses,Yes,Yes,Significant losses
1130,ADAMAWA,Drought,2.0,No,Yes,Significant losses,No,Yes,Small losses
1131,ADAMAWA,Fire Disaster,1.0,No,No,,No,No,Significant losses
1132,ADAMAWA,Flood,3.0,No,Yes,Significant losses,No,No,Significant losses
1133,ADAMAWA,Flood,2.0,Yes,Yes,Significant losses,Yes,Yes,Significant losses
1134,ADAMAWA,Extreme Winds,1.0,Yes,No,Small losses,No,No,Small losses
1135,ADAMAWA,Flood,4.0,Yes,Yes,Significant losses,Yes,Yes,Significant losses
1136,ADAMAWA,Heavy rainfall,3.0,No,Yes,Significant losses,Yes,Yes,Significant losses
1137,ADAMAWA,Extreme Winds,7.0,No,No,,No,No,Small losses
1138,ADAMAWA,Heavy rainfall,3.0,No,No,,No,Yes,Significant losses
