,state,Month,Maize,Rice,Sorghum,Beans,Millet
110,Delta,Dec,0.48333746091151236,0.5426115512550874,0.5136417576334662,0.530483862896624,0.4923574246138717
111,Delta,Feb,0.4566319180021688,0.5178479080236122,0.48733846103468803,0.5036542505083723,0.4679023354250363
112,Delta,Jan,0.4930697098722033,0.5524353139235666,0.5233439687203161,0.5407123897729477,0.5013717869038629
113,Delta,Jul,1.339205464919163,1.3539801388189119,1.3228224167279654,1.3446645219911235,1.3468652753648174
114,Delta,Jun,0.356406771341122,0.36978776091005344,0.3388731419823653,0.3591362998771021,0.3669865253237798
115,Delta,Mar,0.4162190551890576,0.4728184800562692,0.44214696429183936,0.45741012218657623,0.42528539921002956
116,Delta,May,0.43363057041383346,0.4799816995036442,0.44951276970859644,0.466881190761228,0.44365678537652753
117,Delta,Nov,0.45681869773493533,0.5142675465783718,0.4837580995894476,0.5008633627473423,0.46710807059236625
118,Delta,Oct,0.44420399361514923,0.4874372489843213,0.4567252160260151,0.47646205813127823,0.45320278369379413
119,Delta,Sep,1.3864776793771394,1.416264760224779,1.3851070381338326,1.4069491433969905,1.39432906070402
120,Ebonyi,Apr,0.5309822853832007,0.5279724798988646,0.5492440066839712,0.5618755856313397,0.5434464918764452
121,Ebonyi,Aug,0.5285900909163797,0.5629209123585246,0.5365847363388689,0.5573742100230794,0.539218241753242
122,Ebonyi,Dec,0.4937836567206945,0.5159997820095596,0.5288437324683763,0.5427911008894291,0.5020585105218641
123,Ebonyi,Feb,0.46649591418102176,0.4929434359789938,0.5049770425602826,0.5155033583497562,0.47780867885131817
124,Ebonyi,Jan,0.46512146294601087,0.4903831160056037,0.5016063787093646,0.5145011155514699,0.4725332395138672
125,Ebonyi,Jul,1.4839827718779601,1.5033366677715327,1.4767168713947423,1.4975063450789527,1.4949940644772746
126,Ebonyi,Jun,0.5274194881323031,0.5625288962077037,0.5367599609023175,0.5557073293233702,0.5395066024698711
127,Ebonyi,Mar,0.503673588398017,0.5265088209536737,0.5434855251878825,0.5524328936089351,0.514458020743248
128,Ebonyi,May,1.5576650818751023,1.6056450546040897,1.581577841441512,1.5973673151257226,1.5698449568498956
129,Ebonyi,Nov,0.6042486865753921,0.6173547022293852,0.6379779539124694,0.653504269701943,0.615733865038792
130,Ebonyi,Oct,0.5356829151246132,0.5718563380075891,0.5457227479573152,0.5654595900625784,0.5471721266591967
131,Ebonyi,Sep,1.5224950281277612,1.5546430992857976,1.5280233029090071,1.5485496186984808,1.5339610495030385
132,Edo,Apr,1.5669037447298604,1.6042091694420253,1.5914819085015726,1.6064819085015727,1.578915238982734
133,Edo,Aug,0.5430561101798794,0.5795684756483658,0.5525435073328114,0.5754382441749166,0.5521537105025252
134,Edo,Dec,0.5224024780604893,0.5428931023200214,0.5561017075237257,0.5721543391026731,0.5306793483972508
135,Edo,Feb,0.4967588424517474,0.521968771982343,0.5350558256044181,0.5466347729728392,0.5093178261178091
136,Edo,Jan,0.48800715198013117,0.5109233643467693,0.5219845582750248,0.5375108740644984,0.4947030584128797
137,Edo,Jul,1.4894114838081967,1.5129039307896532,1.4847849982394363,1.507153419292068,1.4999932543264465
